source_row,purchase_date,portfolio,product_name,set_name,source_set_id,card_number,material,rarity,condition,quantity,price_per_unit,total_cost,owned_product_id,catalogue_card_id,canonical_behaviour_card_id,resolution_type,catalogue_name,supertype,types,stage,resolution_note
2,2026-07-25,My Portfolio,Budew,Ascended Heroes,me2pt5,016/217,,Common,NM,4,£0.15,£0.60,card:me2pt5|016/217|null|null|null|null,me2pt5-16,me2pt5-16,exact,Budew,Pokémon,Grass,Basic,
3,2026-07-25,My Portfolio,Binding Mochi,Shrouded Fable,sv6pt5,055/064,,Uncommon,NM,4,£0.12,£0.48,card:sv6pt5|055/064|null|null|null|null,sv6pt5-55,sv6pt5-55,exact,Binding Mochi,Trainer,,Pokémon Tool,
4,2026-07-25,My Portfolio,Academy at Night,Shrouded Fable,sv6pt5,054/064,,Uncommon,NM,2,£0.19,£0.38,card:sv6pt5|054/064|null|null|null|null,sv6pt5-54,sv6pt5-54,exact,Academy at Night,Trainer,,Stadium,
5,2026-07-25,My Portfolio,Janine's Secret Art,Shrouded Fable,sv6pt5,059/064,,Uncommon,NM,4,£0.13,£0.52,card:sv6pt5|059/064|null|null|null|null,sv6pt5-59,sv6pt5-59,exact,Janine's Secret Art,Trainer,,Supporter,
6,2026-07-25,My Portfolio,Energy Switch,Sword & Shield,swsh1,162/202,,Uncommon,NM,1,£0.11,£0.11,card:swsh1|162/202|null|null|null|null,swsh1-162,swsh1-162,exact,Energy Switch,Trainer,,Item,
7,2026-07-25,My Portfolio,Swalot,Stellar Crown,sv7,092/142,,Uncommon,NM,4,£0.12,£0.48,card:sv7|092/142|null|null|null|null,sv7-92,sv7-92,exact,Swalot,Pokémon,Darkness,Stage 1,
8,2026-07-25,My Portfolio,Pecharunt,Ascended Heroes,me2pt5,143/217,Holo,Rare,NM,3,£0.12,£0.36,card:me2pt5|143/217|Holo|null|null|null,me2pt5-143,me2pt5-143,exact,Pecharunt,Pokémon,Darkness,Basic,
9,2026-07-25,My Portfolio,Gulpin,Stellar Crown,sv7,091/142,,Common,NM,4,£0.13,£0.52,card:sv7|091/142|null|null|null|null,sv7-91,sv7-91,exact,Gulpin,Pokémon,Darkness,Basic,
10,2026-07-25,My Portfolio,Switch,Mega Evolution,m1,130/132,,Common,NM,3,£0.13,£0.39,card:m1|130/132|null|null|null|null,me1-130,me1-130,set-id-alias,Switch,Trainer,,Item,Portfolio set ID m1 normalised to me1
11,2026-07-25,My Portfolio,Rescue Board,Temporal Forces,sv5,159/162,,Uncommon,NM,3,£0.11,£0.33,card:sv5|159/162|null|null|null|null,sv5-159,sv5-159,exact,Rescue Board,Trainer,,Pokémon Tool,
12,2026-07-25,My Portfolio,Colress's Tenacity,Shrouded Fable,sv6pt5,057/064,,Uncommon,NM,4,£0.12,£0.48,card:sv6pt5|057/064|null|null|null|null,sv6pt5-57,sv6pt5-57,exact,Colress's Tenacity,Trainer,,Supporter,
13,2026-07-25,My Portfolio,Energy Search,Crown Zenith,swsh12pt5,128/159,,Common,NM,1,£0.11,£0.11,card:swsh12pt5|128/159|null|null|null|null,swsh12pt5-128,swsh12pt5-128,exact,Energy Search,Trainer,,Item,
14,2026-07-25,My Portfolio,Energy Switch,Crown Zenith,swsh12pt5,129/159,,Uncommon,NM,1,£0.11,£0.11,card:swsh12pt5|129/159|null|null|null|null,swsh12pt5-129,swsh12pt5-129,exact,Energy Switch,Trainer,,Item,
15,2026-07-25,My Portfolio,Lillie's Determination,Mega Evolution,m1,119/132,,Uncommon,NM,4,£0.20,£0.80,card:m1|119/132|null|null|null|null,me1-119,me1-119,set-id-alias,Lillie's Determination,Trainer,,Supporter,Portfolio set ID m1 normalised to me1
16,2026-07-25,My Portfolio,Buddy-Buddy Poffin,Temporal Forces,sv5,144/162,,Uncommon,NM,2,£0.14,£0.28,card:sv5|144/162|null|null|null|null,sv5-144,sv5-144,exact,Buddy-Buddy Poffin,Trainer,,Item,
17,2026-07-25,My Portfolio,Ciphermaniac's Codebreaking,Temporal Forces,sv5,145/162,,Uncommon,NM,4,£0.12,£0.48,card:sv5|145/162|null|null|null|null,sv5-145,sv5-145,exact,Ciphermaniac's Codebreaking,Trainer,,Supporter,
18,2026-07-25,My Portfolio,Perilous Jungle,Temporal Forces,sv5,156/162,,Uncommon,NM,2,£0.14,£0.28,card:sv5|156/162|null|null|null|null,sv5-156,sv5-156,exact,Perilous Jungle,Trainer,,Stadium,
19,2026-07-25,My Portfolio,Crispin,Stellar Crown,sv7,133/142,,Uncommon,NM,4,£0.12,£0.48,card:sv7|133/142|null|null|null|null,sv7-133,sv7-133,exact,Crispin,Trainer,,Supporter,
20,2026-07-25,My Portfolio,Rare Candy,Primal Clash,xy5,135/160,,Uncommon,NM,8,£0.17,£1.36,card:xy5|135/160|null|null|null|null,xy5-135,xy5-135,exact,Rare Candy,Trainer,,Item,
